nest,birdID_female,year,birdID_male,prov_rate_male,prop_prov_male,prov_rate_female,prop_prov_female,total_prov_rate,male_age,female_age,pairbond,bs,spotiness,H_shell,S_shell,V_shell
548,Maribel,2018,Olesko,0.4,66.66666667,0.2,33.33333333,0.6,7,5,1,2,0.247674302,0.139782786,0.417032026,0.671316427
408,Mariella,2018,Norbert,0.9,39.13043478,1.4,60.86956522,2.3,19,15,7,3,0.153056179,0.119587601,0.437451556,0.753571164
249,Maysa,2018,Pius,2.5,69.44444444,1.1,30.55555556,3.6,7,6,4,1,0.16801554,0.143003067,0.279818176,0.881280294
524,Medusa,2018,Putin,0.5,50,0.5,50,1,8,6,2,2,0.264165261,0.128850476,0.415096546,0.772647987
224,Milicent,2018,Kain,0.5,41.66666667,0.7,58.33333333,1.2,10,10,7,2,0.143067925,0.132780611,0.311373385,0.895837968
336,Miranda,2018,Dudek,0.7,70,0.3,30,1,13,12,6,2,0.17867748,0.147467444,0.325198897,0.858284292
323,Moira,2018,Wübbo,1.2,63.15789474,0.7,36.84210526,1.9,8,7,1,1,0.164807683,0.131689611,0.285527814,0.851982932
214,Nell,2018,Roy,1.2,80,0.3,20,1.5,17,17,5,3,0.238226377,0.154946163,0.363745711,0.721585739
418,Pinelopi,2018,Russell,2.3,88.46153846,0.3,11.53846154,2.6,7,8,4,3,0.366230278,0.114878653,0.489899978,0.705442191
3512,Princess,2018,Karlson,0.4,66.66666667,0.2,33.33333333,0.6,17,10,3,1,0.352638025,0.102928965,0.453342045,0.747239469
338,Prosecco,2018,Matt,2.8,90.32258065,0.3,9.677419355,3.1,12,11,8,1,0.232745902,0.149068781,0.355644817,0.775375655
211,Rihanna,2018,Hamlet,1.1,68.75,0.5,31.25,1.6,10,10,6,1,0.188217337,0.118858992,0.461544338,0.771917407
276,Rosemarie,2018,Hanno,0.75,100,0,0,0.75,5,4,0,2,0.285146908,0.121014304,0.460447896,0.732921108
268,Sarina,2018,BigBoss,0.7,58.33333333,0.5,41.66666667,1.2,10,10,4,1,0.282418064,0.129531808,0.396400379,0.784413109
3502,Selima,2018,Lucius,1.2,85.71428571,0.2,14.28571429,1.4,17,5,1,2,0.278221935,0.126604594,0.390410202,0.798266326
486,Simke,2018,Antoine,1.5,52.94117647,1.333333333,47.05882353,2.833333333,5,6,3,2,0.296290068,0.148095685,0.209291734,0.852253424
352,Tetje,2018,Lamar,0.125,11.11111111,1,88.88888889,1.125,8,8,5,2,0.208280339,0.143802032,0.376361195,0.741015633
512,Trientje,2018,Milad,1,90.90909091,0.1,9.090909091,1.1,10,8,4,2,0.205412128,0.163666163,0.29955336,0.846830951
223,u27,2018,Bibo,1.7,48.57142857,1.8,51.42857143,3.5,15,NA,NA,3,0.150056792,0.144633658,0.368261312,0.779167594
